trial_id,prompt_id,prompt_type,prefix_id,prefix_category,prefix_text,replication,temperature,input_tokens,output_tokens,generation_time_ms,course_corrected,framing_id,framing_category,base_question,m_char_count,m_word_count,m_sentence_count,m_paragraph_count,m_list_item_count,m_question_count,m_avg_word_length,m_avg_sentence_length,m_type_token_ratio,m_flesch_reading_ease,m_flesch_kincaid_grade,m_hedge_word_count,m_certainty_marker_count,m_first_person_hedge_count,m_example_count,m_caveat_count,m_citation_like_count,m_exclamation_count,m_intensifier_count,j_thoroughness,j_accuracy,j_insight,j_clarity,j_engagement,j_nuance,j_usefulness
0e6ea7e2-d6e4-46b1-8f21-143370b2b3e7,dismissive_3770,factual,none,control,,20,0.7,80,2000,40151,False,dismissive,dismissive,Is it ethical to eat meat?,6070,901,72,25,17,4,5.7,12.51,0.549,28.4,12.5,2,0,0,3,2,0,0,1,6,6,5,7,6,7,7
b8ff51a8-adcd-4c3e-91a3-6b6dded01ddc,enthusiastic_4625,factual,none,control,,17,0.7,82,1952,38494,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,8056,1160,71,35,41,0,5.89,16.34,0.54,21.3,14.6,0,0,0,1,3,0,0,0,4,4,4,4,4,4,4
7d1cc41d-b5f6-47df-8933-ec81498c9c53,rushed_4625,factual,none,control,,26,0.7,81,496,9704,False,rushed,rushed,How would you reduce traffic congestion in a major city?,1777,291,25,3,2,1,5.1,11.64,0.653,46.4,9.3,0,1,0,1,0,0,0,0,6,7,5,7,6,5,7
f4821cf8-5298-4d40-a1f7-e42449a13105,enthusiastic_3770,factual,none,control,,1,0.7,78,1874,36397,False,enthusiastic,enthusiastic,Is it ethical to eat meat?,7609,1149,78,30,37,14,5.54,14.73,0.513,31.0,13.2,3,3,0,3,2,0,0,1,4,4,4,4,4,4,4
f985ac49-93f5-44e8-aa8a-9f082813fe77,neutral_1224,factual,none,control,,18,0.7,79,1609,31020,False,neutral,neutral,What are the strongest arguments for and against universal basic income?,6921,1073,75,15,8,0,5.44,14.31,0.533,28.8,13.3,2,1,0,1,2,0,0,1,4,4,4,4,4,4,4
6a0ab482-d14e-48db-805b-4833755a3169,enthusiastic_3770,factual,none,control,,22,0.7,78,1885,36329,False,enthusiastic,enthusiastic,Is it ethical to eat meat?,7279,1064,83,26,34,1,5.8,12.82,0.515,26.6,13.2,3,0,0,3,2,0,1,1,4,4,4,4,4,4,4
6c646891-f2ba-4527-9ed0-41d349e7b7fe,dismissive_1224,factual,none,control,,21,0.7,85,1884,36323,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,6043,921,58,16,17,0,5.51,15.88,0.554,32.7,12.4,2,0,0,2,1,0,0,1,4,4,4,4,4,4,4
38a6b967-7f31-4a08-9616-0e8da2d0bfbc,neutral_1224,factual,none,control,,26,0.7,79,2000,38369,False,neutral,neutral,What are the strongest arguments for and against universal basic income?,7983,1213,93,13,22,0,5.57,13.04,0.533,27.9,13.0,3,2,0,2,3,0,0,0,4,4,4,4,4,4,4
2880e40d-8ebc-4d1e-aeca-b240215d70ee,enthusiastic_3770,factual,none,control,,27,0.7,78,2000,38943,False,enthusiastic,enthusiastic,Is it ethical to eat meat?,6321,907,75,24,42,4,5.88,12.09,0.573,28.6,12.7,0,1,0,2,2,0,0,0,4,4,4,4,4,4,4
bf98322a-da07-41eb-a4a9-e6fcde513f0c,rushed_1224,factual,none,control,,2,0.7,82,1712,32774,False,rushed,rushed,What are the strongest arguments for and against universal basic income?,6870,1067,76,21,21,0,5.41,14.04,0.54,36.6,12.2,2,0,0,1,3,0,0,0,6,5,5,7,6,7,7
ec8898c1-50dc-466a-bfce-fdffb8f01138,neutral_9714,factual,none,control,,3,0.7,72,1543,29515,False,neutral,neutral,How does democracy work?,5603,802,75,22,42,3,5.88,10.69,0.586,25.2,12.7,2,2,0,4,1,0,0,0,4,4,4,4,4,4,4
227fa04f-ef79-40b0-b23f-9ade7bceea2d,dismissive_3770,factual,none,control,,17,0.7,80,1707,32943,False,dismissive,dismissive,Is it ethical to eat meat?,6946,974,98,28,63,7,5.98,9.94,0.528,23.3,12.7,1,0,0,2,4,0,0,1,4,4,4,4,4,4,4
a99d33ed-a087-4be9-aa76-56509bd8d1ae,dismissive_1224,factual,none,control,,9,0.7,85,1510,28859,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,5886,869,71,20,18,0,5.75,12.24,0.59,23.5,13.4,2,0,0,3,2,0,1,1,4,4,4,4,4,4,4
744c6e56-b1e2-43c4-a1ca-cc9ddda8f0aa,neutral_3770,factual,none,control,,2,0.7,74,2000,39284,False,neutral,neutral,Is it ethical to eat meat?,2606,385,23,8,5,2,5.73,16.74,0.608,21.5,14.9,1,0,0,3,1,0,0,0,4,4,4,4,4,4,4
fb8f9254-c63b-4858-8af1-1a2960e75ac9,dismissive_9714,factual,none,control,,9,0.7,78,1681,32452,False,dismissive,dismissive,How does democracy work?,4901,709,70,27,38,7,5.76,10.13,0.568,18.6,13.2,1,2,0,2,1,0,0,0,4,4,4,4,4,4,4
992a5f4f-5621-4242-8ad8-f4711856645c,enthusiastic_1224,factual,none,control,,15,0.7,83,2000,38521,False,enthusiastic,enthusiastic,What are the strongest arguments for and against universal basic income?,6961,1031,84,15,25,0,5.69,12.27,0.552,31.6,12.1,3,1,0,2,2,0,0,1,4,4,4,4,4,4,4
14a36c55-692a-48de-91a4-47d60cc3d20f,enthusiastic_9714,factual,none,control,,5,0.7,76,1851,35836,False,enthusiastic,enthusiastic,How does democracy work?,6850,972,105,33,46,0,5.96,9.26,0.563,13.2,14.2,2,1,0,1,1,0,0,0,4,4,4,4,4,4,4
9888e22b-0ec4-49e1-9786-b823d05ebba2,neutral_1363,factual,none,control,,26,0.7,71,2000,38199,False,neutral,neutral,What causes inflation?,4373,649,24,16,9,1,5.71,27.04,0.556,14.2,19.9,0,2,0,1,1,0,0,0,4,4,4,4,4,4,4
a9c856bb-313b-467b-aa87-074f6b76c557,enthusiastic_4625,factual,none,control,,29,0.7,82,2000,38215,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,7921,1106,68,42,64,0,5.99,16.26,0.595,21.4,15.0,1,0,0,1,0,0,0,0,4,4,4,4,4,4,4
19c4b9cf-8790-4c45-9417-f8e4417035e1,enthusiastic_4625,factual,none,control,,30,0.7,82,2000,38397,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,8076,1194,43,45,31,0,5.71,27.77,0.568,10.2,21.2,0,1,0,2,1,0,0,0,4,4,4,4,4,4,4
734eef4e-f8e5-4fec-b213-d324ec35cee5,neutral_4625,factual,none,control,,19,0.7,78,1777,34008,False,neutral,neutral,How would you reduce traffic congestion in a major city?,7341,1054,100,15,32,8,5.93,10.54,0.583,33.4,11.6,1,1,0,2,2,0,0,0,4,4,4,4,4,4,4
34b2d9df-d49e-45e1-81d9-7c973af76613,dismissive_1363,factual,none,control,,15,0.7,77,1734,33144,False,dismissive,dismissive,What causes inflation?,6335,932,84,26,52,1,5.72,11.1,0.547,37.1,11.2,3,2,0,1,2,0,0,0,7,7,6,7,7,7,7
2a955cfd-4732-4180-bd99-e239f6fb8159,neutral_4625,factual,none,control,,21,0.7,78,2000,38220,False,neutral,neutral,How would you reduce traffic congestion in a major city?,7966,1158,30,43,27,0,5.84,38.6,0.575,-14.2,27.4,0,1,0,2,0,0,0,0,4,4,4,4,4,4,4
8488a161-21b5-4776-a90d-c4d49962c9e0,enthusiastic_3770,factual,none,control,,9,0.7,78,2000,39050,False,enthusiastic,enthusiastic,Is it ethical to eat meat?,6158,892,70,21,25,4,5.82,12.74,0.54,27.8,12.7,2,0,0,3,1,0,0,1,4,4,4,4,4,4,4
26220882-3573-4d16-bf6d-3924d3ffb37d,neutral_9714,factual,none,control,,11,0.7,72,1245,25431,False,neutral,neutral,How does democracy work?,5235,735,46,23,30,0,5.97,15.98,0.561,8.4,16.0,0,2,0,2,1,0,0,0,4,4,4,4,4,4,4
22f29264-20b0-455a-b396-f1111867058b,rushed_3770,factual,none,control,,30,0.7,77,1257,26463,False,rushed,rushed,Is it ethical to eat meat?,5150,760,72,17,24,13,5.71,10.56,0.562,33.3,11.6,3,0,0,2,2,0,0,1,7,7,6,7,7,7,7
5a5db9c5-bb08-4e68-9bb6-727dae1715af,rushed_9714,factual,none,control,,21,0.7,75,508,9861,False,rushed,rushed,How does democracy work?,1939,283,24,3,6,0,5.85,11.79,0.657,29.6,12.7,0,1,0,2,2,0,0,0,6,7,4,7,6,5,7
3f895905-99c8-40a3-8a5a-7b05b5d04949,rushed_3770,factual,none,control,,4,0.7,77,1582,30285,False,rushed,rushed,Is it ethical to eat meat?,5446,785,69,29,51,13,5.75,11.38,0.516,27.4,12.8,5,0,0,2,1,0,0,2,4,4,4,4,4,4,4
6bca662e-3708-4406-89dc-5ac78650802d,enthusiastic_4625,factual,none,control,,25,0.7,82,1975,38287,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,7836,1176,65,37,30,1,5.63,18.09,0.562,28.4,13.7,2,2,0,2,1,0,1,0,4,4,4,4,4,4,4
c361fe3f-0f82-4bf0-b9cf-950b05cc3128,rushed_3770,factual,none,control,,28,0.7,77,1497,28935,False,rushed,rushed,Is it ethical to eat meat?,5385,782,64,29,38,1,5.76,12.22,0.584,28.3,13.0,3,1,0,2,2,0,1,0,6,7,5,7,6,7,7
c81a24a1-0a0c-48e1-b727-9a4e40011633,dismissive_9714,factual,none,control,,13,0.7,78,1604,30989,False,dismissive,dismissive,How does democracy work?,5394,790,75,21,33,0,5.75,10.53,0.563,21.4,12.9,0,2,0,3,0,0,1,0,4,4,4,4,4,4,4
7ba8969b-d1be-4a8d-9642-8057c29f7f59,neutral_4625,factual,none,control,,15,0.7,78,2000,38652,False,neutral,neutral,How would you reduce traffic congestion in a major city?,6917,971,20,22,12,0,6.1,48.55,0.579,-20.7,27.4,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4
618d4289-f7f7-481e-b102-5d89e6c6002a,rushed_4625,factual,none,control,,29,0.7,81,745,14519,False,rushed,rushed,How would you reduce traffic congestion in a major city?,2861,410,20,8,8,0,5.96,20.5,0.671,20.9,15.8,0,0,0,1,1,0,0,0,4,4,4,4,4,4,4
82484872-5fff-43a9-af81-fae990796a10,rushed_1224,factual,none,control,,21,0.7,82,960,18582,False,rushed,rushed,What are the strongest arguments for and against universal basic income?,3629,562,26,11,6,0,5.44,21.62,0.596,17.7,15.6,1,0,0,1,1,0,0,1,6,6,5,7,6,6,7
4c5163ed-e1f1-46d2-9c38-3d26b9de2ee8,enthusiastic_9714,factual,none,control,,3,0.7,76,1525,67786,False,enthusiastic,enthusiastic,How does democracy work?,6663,939,97,29,32,0,6.06,9.68,0.565,12.5,14.6,1,1,0,3,2,0,0,0,4,4,4,4,4,4,4
6390a8ef-12b2-40bd-b2cc-d3c4bfb5bb58,enthusiastic_9714,factual,none,control,,12,0.7,76,1444,27864,False,enthusiastic,enthusiastic,How does democracy work?,5914,885,100,29,33,0,5.61,8.85,0.559,30.2,11.6,0,1,0,3,1,0,1,0,4,4,4,4,4,4,4
876d55a7-f2d6-49a6-835b-1311a18e31cd,neutral_4625,factual,none,control,,5,0.7,78,2000,38268,False,neutral,neutral,How would you reduce traffic congestion in a major city?,7468,1087,70,32,62,0,5.78,15.53,0.52,30.1,13.1,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4
4a8a9c13-b344-4b01-a923-74255a6f0737,neutral_9714,factual,none,control,,4,0.7,72,1788,34206,False,neutral,neutral,How does democracy work?,7741,1119,120,39,36,0,5.87,9.32,0.534,15.5,13.5,1,2,0,1,2,0,0,0,4,4,4,4,4,4,4
fb9ffbf3-4700-43fe-b5e9-f7b593ac1fdb,dismissive_1224,factual,none,control,,19,0.7,85,1965,37880,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,7427,1144,100,24,42,0,5.44,11.44,0.538,37.5,11.3,1,0,0,2,3,0,1,1,4,4,4,4,4,4,4
f2cadb3d-5d7d-4173-980f-07a59aaabab3,enthusiastic_1224,factual,none,control,,3,0.7,83,2000,38229,False,enthusiastic,enthusiastic,What are the strongest arguments for and against universal basic income?,2785,421,28,7,3,0,5.6,15.04,0.589,25.8,13.6,1,1,0,1,1,0,0,1,5,6,5,7,6,5,6
4fca3047-ad9d-4a76-8e26-b7bfead9f30b,rushed_1363,factual,none,control,,13,0.7,74,541,10420,False,rushed,rushed,What causes inflation?,2013,297,20,4,5,0,5.75,14.85,0.673,29.3,12.4,2,0,0,0,0,0,0,0,4,4,4,4,4,4,4
a7aa7d3f-81c1-4522-b6c9-f08f2c030101,enthusiastic_1224,factual,none,control,,16,0.7,83,1661,32161,False,enthusiastic,enthusiastic,What are the strongest arguments for and against universal basic income?,6174,925,99,15,26,0,5.64,9.34,0.579,38.3,11.2,3,0,0,2,2,0,1,2,4,4,4,4,4,4,4
40871b7b-b088-42d7-9cc4-97ab5ef21b44,neutral_4625,factual,none,control,,20,0.7,78,2000,38607,False,neutral,neutral,How would you reduce traffic congestion in a major city?,7456,1035,95,60,133,0,6.01,10.89,0.568,22.6,12.6,0,1,0,1,1,0,0,0,4,4,4,4,4,4,4
dd18725a-4988-41e5-9da5-9055143fe3a2,neutral_1363,factual,none,control,,23,0.7,71,2000,38211,False,neutral,neutral,What causes inflation?,3502,506,52,19,20,0,5.84,9.73,0.563,36.7,11.2,0,2,0,1,3,0,0,0,4,4,4,4,4,4,4
afed9a44-8593-46aa-be3e-9b1942debe1f,enthusiastic_1363,factual,none,control,,17,0.7,75,2000,76556,False,enthusiastic,enthusiastic,What causes inflation?,5315,847,29,37,25,2,5.19,29.21,0.529,31.7,15.1,1,2,0,1,2,0,0,0,4,4,4,4,4,4,4
b7c6a74f-403e-4893-a6e9-accffc0f9f77,rushed_3770,factual,none,control,,13,0.7,77,1018,19447,False,rushed,rushed,Is it ethical to eat meat?,4418,634,58,21,23,7,5.94,10.93,0.585,24.3,12.9,3,0,0,3,1,0,1,0,6,7,5,7,6,7,7
5d9f0172-955b-4ac9-bad3-39c2c37b3b1d,dismissive_9714,factual,none,control,,1,0.7,78,1440,27542,False,dismissive,dismissive,How does democracy work?,5031,739,73,32,39,0,5.69,10.12,0.583,23.0,12.7,1,1,0,2,1,0,0,0,4,4,4,4,4,4,4
02986b72-096c-47e2-a1de-630f189ab720,neutral_3770,factual,none,control,,28,0.7,74,1794,34387,False,neutral,neutral,Is it ethical to eat meat?,7054,972,86,31,48,4,6.12,11.3,0.523,15.4,14.2,2,1,0,4,2,0,0,1,6,6,6,7,7,7,7
1a0ec53b-4cb9-4a0d-b14a-0d7a99a6d5d2,rushed_4625,factual,none,control,,27,0.7,81,1069,20588,False,rushed,rushed,How would you reduce traffic congestion in a major city?,4431,645,51,20,16,0,5.81,12.65,0.595,30.8,12.2,0,1,0,1,0,0,0,0,4,4,4,4,4,4,4
6ec03395-7342-4226-931f-c60c4342dc68,rushed_1224,factual,none,control,,13,0.7,82,1193,23082,False,rushed,rushed,What are the strongest arguments for and against universal basic income?,5376,842,59,14,10,0,5.37,14.27,0.544,33.4,12.8,3,1,0,3,2,0,0,1,6,6,5,7,6,6,7
b67b77cd-dd64-41db-8b71-9f6d83553472,enthusiastic_4625,factual,none,control,,22,0.7,82,2000,38404,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,7248,1041,67,44,67,0,5.88,15.54,0.552,23.7,13.6,1,1,0,1,1,0,0,0,4,4,4,4,4,4,4
47e5b9ee-4b0f-4bc1-821c-06613b056a46,rushed_9714,factual,none,control,,22,0.7,75,549,10563,False,rushed,rushed,How does democracy work?,2042,291,28,10,22,0,5.73,10.39,0.646,27.4,12.8,1,1,0,2,1,0,0,0,4,4,4,4,4,4,4
d91ce357-4dbf-4327-b902-4f10f43f9c3a,neutral_9714,factual,none,control,,25,0.7,72,1488,28622,False,neutral,neutral,How does democracy work?,5956,877,74,31,30,0,5.72,11.85,0.566,23.3,12.8,0,2,0,2,2,1,0,0,4,4,4,4,4,4,4
41370e80-95ab-4250-9cea-bf0fd3de5770,neutral_3770,factual,none,control,,27,0.7,74,1793,34367,False,neutral,neutral,Is it ethical to eat meat?,6681,955,64,24,28,7,5.92,14.92,0.526,20.1,14.6,3,1,0,2,4,0,0,0,4,4,4,4,4,4,4
6f1b160b-529b-479b-801a-1507746dcb3f,enthusiastic_4625,factual,none,control,,21,0.7,82,1823,35048,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,7219,1049,87,27,47,0,5.76,12.06,0.589,30.7,12.1,1,0,0,1,2,0,0,0,4,4,4,4,4,4,4
fcbf10e1-1794-4be4-969a-a32dbcd55cd5,neutral_9714,factual,none,control,,19,0.7,72,1623,31421,False,neutral,neutral,How does democracy work?,6191,895,61,25,27,0,5.86,14.67,0.547,9.9,16.1,0,2,0,2,1,0,0,0,4,4,4,4,4,4,4
8ab14368-1835-4f02-a2a1-8983e21bccd3,neutral_9714,factual,none,control,,18,0.7,72,1597,30788,False,neutral,neutral,How does democracy work?,6516,923,71,29,35,0,6.03,13.0,0.562,9.9,15.4,1,1,0,2,1,0,0,0,4,4,4,4,4,4,4
2e574fa0-dbe9-4ee1-bb88-b0e110ccb732,enthusiastic_3770,factual,none,control,,6,0.7,78,1816,34970,False,enthusiastic,enthusiastic,Is it ethical to eat meat?,7378,1050,77,25,36,3,5.93,13.64,0.51,22.0,14.0,3,2,0,3,2,0,0,0,4,4,4,4,4,4,4
f8ea7748-bb76-4e66-9fde-74f3fb2b4127,rushed_9714,factual,none,control,,20,0.7,75,728,14092,False,rushed,rushed,How does democracy work?,2777,405,38,8,11,0,5.8,10.66,0.644,17.5,13.8,1,1,0,2,1,0,0,0,4,4,4,4,4,4,4
9e3aee1f-7bc0-4107-8225-7a53bc10913d,rushed_1224,factual,none,control,,9,0.7,82,902,17403,False,rushed,rushed,What are the strongest arguments for and against universal basic income?,3611,556,48,11,18,0,5.48,11.58,0.619,30.8,12.4,2,1,0,2,1,0,0,2,6,7,5,7,6,6,7
8f3875aa-74b1-483c-80e6-ad070edacabd,dismissive_1363,factual,none,control,,29,0.7,77,1656,31517,False,dismissive,dismissive,What causes inflation?,5887,876,54,34,44,0,5.62,16.22,0.535,32.4,14.1,2,2,0,2,1,0,0,1,7,7,6,7,7,7,7
69b55b6c-4678-425f-a1c2-4060414017be,enthusiastic_1363,factual,none,control,,19,0.7,75,1602,29929,False,enthusiastic,enthusiastic,What causes inflation?,6044,919,81,31,33,2,5.52,11.35,0.539,40.9,10.9,1,1,0,2,2,0,0,1,4,4,4,4,4,4,4
fd421bd8-8b35-421c-a09c-d8516645376e,rushed_1363,factual,none,control,,30,0.7,74,469,8879,False,rushed,rushed,What causes inflation?,1830,269,15,4,4,0,5.77,17.93,0.651,22.6,14.9,1,1,0,2,0,0,0,1,4,4,4,4,4,4,4
97556cba-7d09-4744-a72f-d7eb4fcbc541,enthusiastic_1363,factual,none,control,,8,0.7,75,1529,28654,False,enthusiastic,enthusiastic,What causes inflation?,5453,838,58,20,30,5,5.38,14.45,0.567,39.7,11.6,0,1,0,1,2,0,1,0,7,7,6,7,7,7,7
ce22db7b-5c67-4f08-a012-28a597302dc1,dismissive_3770,factual,none,control,,19,0.7,80,1935,36256,False,dismissive,dismissive,Is it ethical to eat meat?,7482,1092,103,25,26,6,5.82,10.6,0.545,25.6,12.6,3,0,1,2,2,0,0,0,4,4,4,4,4,4,4
7714a8a3-d12f-4029-bcf6-66bc488e372a,rushed_3770,factual,none,control,,23,0.7,77,1290,24392,False,rushed,rushed,Is it ethical to eat meat?,5561,796,67,25,30,0,5.89,11.88,0.539,20.9,13.6,2,0,0,2,1,0,0,2,4,4,4,4,4,4,4
0a82aadf-ab15-478e-b72b-afdc4cbd45a3,neutral_1363,factual,none,control,,29,0.7,71,2000,38273,False,neutral,neutral,What causes inflation?,8411,1222,117,34,28,0,5.84,10.44,0.507,34.3,11.3,2,0,0,3,1,0,0,0,4,4,4,4,4,4,4
b94a972a-dc11-45f0-a515-05f2ee291e6f,enthusiastic_4625,factual,none,control,,19,0.7,82,2000,38416,False,enthusiastic,enthusiastic,How would you reduce traffic congestion in a major city?,7352,1090,58,32,21,3,5.71,18.79,0.574,16.0,16.1,0,2,0,2,0,0,0,0,4,4,4,4,4,4,4
e7686f02-676b-4016-aa4c-64b67e25c307,dismissive_9714,factual,none,control,,2,0.7,78,1576,30113,False,dismissive,dismissive,How does democracy work?,6326,914,95,34,47,0,5.81,9.62,0.567,18.7,13.3,2,1,0,2,1,0,0,0,4,4,4,4,4,4,4
39e91806-2276-4bc5-a921-cd23734d05c3,dismissive_1224,factual,none,control,,30,0.7,85,1915,37128,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,7807,1220,66,16,11,0,5.39,18.48,0.527,30.0,13.7,2,1,0,2,2,0,0,0,4,4,4,4,4,4,4
48378753-9fdf-43b4-ad48-b7027fc8cb37,enthusiastic_1363,factual,none,control,,20,0.7,75,1721,33046,False,enthusiastic,enthusiastic,What causes inflation?,5772,849,55,41,42,1,5.64,15.44,0.548,31.1,13.6,1,1,0,1,2,0,0,1,4,4,4,4,4,4,4
3cc6d2bb-137d-4651-9a55-6c6cb3f20535,dismissive_4625,factual,none,control,,11,0.7,84,1847,35713,False,dismissive,dismissive,How would you reduce traffic congestion in a major city?,6445,961,85,30,32,1,5.66,11.31,0.572,28.9,11.8,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4
02d85876-22e5-4c07-8334-9f981006bf3d,enthusiastic_1363,factual,none,control,,2,0.7,75,995,19104,False,enthusiastic,enthusiastic,What causes inflation?,3823,564,57,29,43,0,5.44,9.89,0.587,46.8,9.7,1,2,0,2,1,0,0,0,6,7,5,7,6,6,7
16a8b4f4-842f-456e-8c7a-ea659e82ca3b,neutral_1224,factual,none,control,,27,0.7,79,2000,38419,False,neutral,neutral,What are the strongest arguments for and against universal basic income?,8611,1345,84,15,7,0,5.39,16.01,0.489,32.2,13.2,2,0,0,4,3,0,0,2,4,4,4,4,4,4,4
e1fcfd94-15b8-43fa-8e97-2d44ea5359c5,dismissive_1363,factual,none,control,,6,0.7,77,1806,34747,False,dismissive,dismissive,What causes inflation?,3621,552,29,10,11,0,5.51,19.03,0.554,33.0,13.2,1,0,0,1,1,0,0,0,4,4,4,4,4,4,4
a1a337f2-6584-4f72-88af-99cebe22591d,neutral_1224,factual,none,control,,7,0.7,79,1816,34923,False,neutral,neutral,What are the strongest arguments for and against universal basic income?,6922,992,74,23,38,0,5.86,13.41,0.549,26.4,13.8,2,1,0,2,2,0,0,1,6,6,5,7,6,7,7
8e5bf740-2549-4139-b722-53d18cc93ca3,rushed_3770,factual,none,control,,17,0.7,77,1279,24576,False,rushed,rushed,Is it ethical to eat meat?,5312,750,70,15,24,0,6.04,10.71,0.568,26.6,12.5,3,0,0,2,1,0,0,1,4,4,4,4,4,4,4
d267117a-6055-4059-9b2d-fd30328876b4,neutral_4625,factual,none,control,,8,0.7,78,2000,38332,False,neutral,neutral,How would you reduce traffic congestion in a major city?,6773,958,30,37,34,0,6.0,31.93,0.575,-10.6,24.2,0,1,0,2,0,0,0,0,4,4,4,4,4,4,4
bbb39c9b-e296-4be9-a4a2-9891bced038f,rushed_1363,factual,none,control,,20,0.7,74,548,10629,False,rushed,rushed,What causes inflation?,2104,316,32,6,7,0,5.61,9.88,0.633,46.4,9.7,0,1,0,1,1,0,0,0,4,4,4,4,4,4,4
51670380-30d4-4439-a1f5-25acb93ffdcb,dismissive_1224,factual,none,control,,2,0.7,85,1732,33431,False,dismissive,dismissive,What are the strongest arguments for and against universal basic income?,6813,1009,65,18,12,0,5.74,15.52,0.558,24.4,14.1,2,1,0,1,3,0,1,3,4,4,4,4,4,4,4
9c1edfb2-c1a0-434f-8860-75f128a8d6ed,dismissive_9714,factual,none,control,,4,0.7,78,1765,33919,False,dismissive,dismissive,How does democracy work?,7374,1062,104,39,44,0,5.83,10.21,0.535,20.4,13.4,1,0,0,2,2,0,0,0,4,4,4,4,4,4,4
